scenario,sf,workers,strategy,query_id,distributed_elapsed_sec,baseline_elapsed_sec,speedup,speedup_class
SF10_N2_D1,10,2,D1,Q063,2.691,7.527,2.7971014492753628,Citus mai rapid
SF10_N2_D1,10,2,D1,Q064,67.786,264.851,3.9071637211223558,Citus mai rapid
SF10_N2_D1,10,2,D1,Q066,23.414,13.022,0.5561629794140258,Citus mai lent
SF10_N2_D1,10,2,D1,Q067,3.412,14.099,4.132180539273154,Citus mai rapid
SF10_N2_D1,10,2,D1,Q068,1.591,22.954,14.427404148334382,Citus mai rapid
SF10_N2_D1,10,2,D1,Q070,8.069,8.965,1.11104226050316,Citus mai rapid
SF10_N2_D1,10,2,D1,Q071,3.238,10.012,3.0920321185917232,Citus mai rapid
SF10_N2_D1,10,2,D1,Q072,1.692,7.62,4.50354609929078,Citus mai rapid
SF10_N2_D1,10,2,D1,Q073,3.239,6.326,1.953071935782649,Citus mai rapid
SF10_N2_D1,10,2,D1,Q074,1.507,6.469,4.2926343729263445,Citus mai rapid
SF10_N2_D1,10,2,D1,Q075,26.34,15.166,0.5757782839787395,Citus mai lent
SF10_N2_D1,10,2,D1,Q076,13.255,19.337,1.4588457185967558,Citus mai rapid
SF10_N2_D1,10,2,D1,Q077,3.696,17.383,4.70319264069264,Citus mai rapid
SF10_N2_D1,10,2,D1,Q078,9.053,15.348,1.695349607864796,Citus mai rapid
SF10_N2_D1,10,2,D1,Q079,6.304,17.057,2.7057423857868015,Citus mai rapid
SF10_N2_D1,10,2,D1,Q080,1.129,0.189,0.16740478299379982,Citus mai lent
SF10_N2_D1,10,2,D1,Q081,0.418,0.594,1.4210526315789473,Citus mai rapid
SF10_N2_D1,10,2,D1,Q082,3.578,7.335,2.050027948574623,Citus mai rapid
SF10_N2_D1,10,2,D1,Q083,1.075,4.457,4.146046511627907,Citus mai rapid
SF10_N2_D1,10,2,D1,Q084,0.476,1.517,3.186974789915966,Citus mai rapid
SF10_N2_D1,10,2,D1,Q085,0.471,1.753,3.721868365180467,Citus mai rapid
SF10_N2_D1,10,2,D1,Q086,10.233,18.654,1.8229258282028729,Citus mai rapid
SF10_N2_D1,10,2,D1,Q087,2.289,6.064,2.6491917868064654,Citus mai rapid
SF10_N2_D1,10,2,D1,Q088,2.089,7.18,3.4370512206797508,Citus mai rapid
SF10_N2_D1,10,2,D1,Q089,1.439,6.41,4.454482279360667,Citus mai rapid
SF10_N2_D1,10,2,D1,Q090,2.957,4.898,1.6564085221508285,Citus mai rapid
SF10_N2_D1,10,2,D1,Q091,0.285,0.49,1.719298245614035,Citus mai rapid
SF10_N2_D1,10,2,D1,Q092,17.366,23.675,1.3632960958194174,Citus mai rapid
SF10_N2_D1,10,2,D1,Q093,17.054,21.924,1.2855635041632463,Citus mai rapid
SF10_N2_D1,10,2,D1,Q094,1.223,2.018,1.6500408830744069,Citus mai rapid
SF10_N2_D1,10,2,D1,Q095,1.06,1.621,1.5292452830188679,Citus mai rapid
SF10_N2_D1,10,2,D1,Q096,5.235,1.596,0.3048710601719198,Citus mai lent
SF10_N2_D1,10,2,D1,Q097,1.695,11.08,6.536873156342183,Citus mai rapid
SF10_N2_D1,10,2,D1,Q098,1.361,8.878,6.523144746509919,Citus mai rapid
SF10_N2_D1,10,2,D1,Q099,570.668,399.5,0.7000567755682814,Citus mai lent
SF10_N2_D1,10,2,D1,Q100,1.654,2.433,1.4709794437726722,Citus mai rapid
SF10_N2_D1,10,2,D1,Q102,0.844,4.543,5.382701421800948,Citus mai rapid
SF10_N2_D1,10,2,D1,Q104,5.297,9.989,1.885784406267699,Citus mai rapid
SF10_N2_D1,10,2,D1,Q105,7.621,5.737,0.7527883479858286,Citus mai lent
SF10_N2_D1,10,2,D1,Q106,10.23,8.75,0.855327468230694,Citus mai lent
SF10_N2_D1,10,2,D1,Q107,14.559,16.982,1.1664262655402158,Citus mai rapid
SF10_N2_D1,10,2,D1,Q108,16.169,16.485,1.0195435710309853,Citus mai rapid
SF10_N2_D1,10,2,D1,Q109,3.163,8.103,2.561808409737591,Citus mai rapid
SF10_N2_D1,10,2,D1,Q111,1.885,9.091,4.822811671087533,Citus mai rapid
SF10_N2_D1,10,2,D1,Q112,2.261,8.363,3.698805838124723,Citus mai rapid
SF10_N2_D1,10,2,D1,Q113,7.7,8.179,1.0622077922077922,Citus mai rapid
SF10_N2_D1,10,2,D1,Q114,0.601,2.098,3.490848585690516,Citus mai rapid
SF10_N2_D1,10,2,D1,Q115,1.697,96.421,56.81850324101355,Citus mai rapid
SF10_N2_D1,10,2,D1,Q116,10.04,23.257,2.3164342629482073,Citus mai rapid
SF10_N2_D1,10,2,D1,Q117,1.235,16.396,13.276113360323887,Citus mai rapid
SF10_N2_D1,10,2,D1,Q118,0.891,18.376,20.624017957351292,Citus mai rapid
SF10_N2_D1,10,2,D1,Q120,0.285,1.391,4.880701754385965,Citus mai rapid
SF10_N2_D1,10,2,D1,Q122,46.119,18.782,0.40725080769314165,Citus mai lent
SF10_N2_D1,10,2,D1,Q123,3.585,25.753,7.183542538354254,Citus mai rapid
SF10_N2_D1,10,2,D1,Q126,21.618,13.97,0.6462207419742808,Citus mai lent
SF10_N2_D1,10,2,D1,Q127,18.478,11.678,0.631994804632536,Citus mai lent
SF10_N2_D1,10,2,D1,Q128,2.936,30.742,10.470708446866485,Citus mai rapid
SF10_N2_D1,10,2,D1,Q129,1.543,5.759,3.7323395981853538,Citus mai rapid
SF10_N2_D1,10,2,D1,Q130,1.484,3.21,2.1630727762803232,Citus mai rapid
SF10_N2_D1,10,2,D1,Q131,3.88,4.276,1.1020618556701032,Citus mai rapid
SF10_N2_D1,10,2,D1,Q133,19.58,33.147,1.6929009193054139,Citus mai rapid
SF10_N2_D1,10,2,D1,Q134,45.082,59.882,1.3282906703340578,Citus mai rapid
