scenario,sf,workers,strategy,query_id,query_no,status,error_category,elapsed_sec,response_code,response_message,source_file
SF100_N0,100,0,baseline,Q024,24,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3602.081,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n0_baseline.csv
SF100_N0,100,0,baseline,Q064,64,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3602.078,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n0_baseline.csv
SF100_N0,100,0,baseline,Q099,99,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.593,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n0_baseline.csv
SF100_N0,100,0,baseline,Q101,101,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3608.487,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n0_baseline.csv
SF100_N0,100,0,baseline,Q125,125,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.044,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n0_baseline.csv
SF100_N0,100,0,baseline,Q128,128,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.365,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n0_baseline.csv
SF100_N2_D1,100,2,D1,Q013,13,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.013,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q028,28,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.375,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q051,51,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.109,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q054,54,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.572,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q055,55,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.036,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q061,61,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.248,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q065,65,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.008,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q069,69,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.006,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q099,99,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3601.948,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q101,101,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,3247.678,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n2_d1.csv
SF100_N2_D1,100,2,D1,Q103,103,CITUS_ARCH_ERROR,GROUPING SETS / CUBE / ROLLUP fara filtru pe cheia de distributie,0.29,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING SETS, CUBE, or ROLLUP
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q110,110,CITUS_ARCH_ERROR,Subquery in lista SELECT nepusa in push-down,0.011,0A000 0,"org.postgresql.util.PSQLException: ERROR: cannot push down subquery on the target list
  Detail: Subqueries in the SELECT part of the query can only be pushed down if they happen before aggregates and window functions",rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q119,119,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.018,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q121,121,CITUS_ARCH_ERROR,Subquery in lista SELECT nepusa in push-down,0.005,0A000 0,"org.postgresql.util.PSQLException: ERROR: cannot push down subquery on the target list
  Detail: Subqueries in the SELECT part of the query can only be pushed down if they happen before aggregates and window functions",rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q124,124,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.046,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q125,125,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.004,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q132,132,CITUS_ARCH_ERROR,Recursive CTE neexecutabil distribuit in forma curenta,0.033,0A000 0,org.postgresql.util.PSQLException: ERROR: recursive CTEs are only supported when they contain a filter on the distribution column,rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q160,160,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.013,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q183,183,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,608.937,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n2_d1_102.csv
SF100_N2_D1,100,2,D1,Q184,184,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,718.971,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n2_d1_184.csv
SF100_N2_D1,100,2,D1,Q197,197,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.064,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q198,198,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.003,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q208,208,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.046,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q209,209,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.016,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q210,210,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.019,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q211,211,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.019,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q220,220,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.151,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q221,221,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.111,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q233,233,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.004,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q235,235,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.039,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q237,237,CITUS_ARCH_ERROR,GROUPING SETS / CUBE / ROLLUP fara filtru pe cheia de distributie,0.006,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING SETS, CUBE, or ROLLUP
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q238,238,CITUS_ARCH_ERROR,Alta limitare arhitecturala Citus,0.004,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n2_d1_185.csv
SF100_N2_D1,100,2,D1,Q248,248,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.1,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d1_185.csv
SF100_N2_D2,100,2,D2,Q013,13,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.012,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q024,24,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.03,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""item"" because there is a foreign key between them and ""item"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q028,28,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.666,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q040,40,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.216,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""store"" because there is a foreign key between them and ""store"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q045,45,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3601.399,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q050,50,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.107,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""item"" because there is a foreign key between them and ""item"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q051,51,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.044,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q061,61,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.069,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q064,64,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.041,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""inventory"" after DDL command on reference table ""item"" because there is a foreign key between them and ""item"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q065,65,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.01,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q067,67,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3600.198,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q068,68,CITUS_ARCH_ERROR,Alta limitare arhitecturala Citus,0.011,0A000 0,org.postgresql.util.PSQLException: ERROR: correlated subqueries are not supported when the FROM clause contains a CTE or subquery,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q069,69,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.002,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q099,99,TIMEOUT_3600,Timeout peste pragul de 3600 secunde,3601.638,57014 0,org.postgresql.util.PSQLException: ERROR: canceling statement due to user request,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q101,101,SERVER_CRASH,Intrerupere conexiune / restart PostgreSQL necesar,2711.661,08006 0,org.postgresql.util.PSQLException: An I/O error occurred while sending to the backend.,rezultate_sf100_n2_d2.csv
SF100_N2_D2,100,2,D2,Q103,103,CITUS_ARCH_ERROR,GROUPING SETS / CUBE / ROLLUP fara filtru pe cheia de distributie,0.1,0A000 0,"org.postgresql.util.PSQLException: ERROR: could not run distributed query with GROUPING SETS, CUBE, or ROLLUP
  Hint: Consider using an equality filter on the distributed table's partition column.",rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q110,110,CITUS_ARCH_ERROR,Subquery in lista SELECT nepusa in push-down,0.019,0A000 0,"org.postgresql.util.PSQLException: ERROR: cannot push down subquery on the target list
  Detail: Subqueries in the SELECT part of the query can only be pushed down if they happen before aggregates and window functions",rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q119,119,CITUS_ARCH_ERROR,Parallel DDL + FK catre reference table,0.017,XX000 0,"org.postgresql.util.PSQLException: ERROR: cannot execute parallel DDL on table ""store_sales"" after DDL command on reference table ""date_dim"" because there is a foreign key between them and ""date_dim"" has been accessed in this transaction
  Detail: When there is a foreign key to a reference table, Citus needs to perform all operations over a single connection per node to ensure consistency.
  Hint: Try re-running the transaction with ""SET LOCAL citus.multi_shard_modify_mode TO 'sequential';""",rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q121,121,CITUS_ARCH_ERROR,Subquery in lista SELECT nepusa in push-down,0.007,0A000 0,"org.postgresql.util.PSQLException: ERROR: cannot push down subquery on the target list
  Detail: Subqueries in the SELECT part of the query can only be pushed down if they happen before aggregates and window functions",rezultate_sf100_n2_d2_102.csv
SF100_N2_D2,100,2,D2,Q124,124,CITUS_ARCH_ERROR,Join complex intre tabele distribuite necolocate,0.023,0A000 0,org.postgresql.util.PSQLException: ERROR: complex joins are only supported when all distributed tables are co-located and joined on their distribution columns,rezultate_sf100_n2_d2_102.csv
