penalty,mixture,.metric,.estimator,mean,n,std_err,.config
7.871731715992485e-4,0.010467111831530929,accuracy,binary,0.8825658263305322,5,0.017397410707696768,Preprocessor1_Model001
7.871731715992485e-4,0.010467111831530929,bal_accuracy,binary,0.5923749718531961,5,0.029526474315153862,Preprocessor1_Model001
7.871731715992485e-4,0.010467111831530929,roc_auc,binary,0.8035447702746135,5,0.03909771483448409,Preprocessor1_Model001
7.871731715992485e-4,0.010467111831530929,sens,binary,0.962260680767691,5,0.016241763402194152,Preprocessor1_Model001
7.871731715992485e-4,0.010467111831530929,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model001
0.05533430354761607,0.060720571549609303,accuracy,binary,0.9080896358543418,5,0.021971583122111144,Preprocessor1_Model002
0.05533430354761607,0.060720571549609303,bal_accuracy,binary,0.6062176112355941,5,0.03433639108634608,Preprocessor1_Model002
0.05533430354761607,0.060720571549609303,roc_auc,binary,0.8255789798058472,5,0.0417524748631756,Preprocessor1_Model002
0.05533430354761607,0.060720571549609303,sens,binary,0.9899459595324871,5,0.007961223396514729,Preprocessor1_Model002
0.05533430354761607,0.060720571549609303,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model002
0.001826994129040432,0.07669116533361375,accuracy,binary,0.8867563025210083,5,0.018416361285129298,Preprocessor1_Model003
0.001826994129040432,0.07669116533361375,bal_accuracy,binary,0.5946518371789624,5,0.029781627139820622,Preprocessor1_Model003
0.001826994129040432,0.07669116533361375,roc_auc,binary,0.808351650215565,5,0.04123909992332352,Preprocessor1_Model003
0.001826994129040432,0.07669116533361375,sens,binary,0.9668144114192238,5,0.015737953696639394,Preprocessor1_Model003
0.001826994129040432,0.07669116533361375,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model003
0.014420959033735189,0.09104399988427758,accuracy,binary,0.9027563025210084,5,0.02110283464113701,Preprocessor1_Model004
0.014420959033735189,0.09104399988427758,bal_accuracy,binary,0.613505917154037,5,0.03841312115425338,Preprocessor1_Model004
0.014420959033735189,0.09104399988427758,roc_auc,binary,0.8220846598718322,5,0.04545732485211021,Preprocessor1_Model004
0.014420959033735189,0.09104399988427758,sens,binary,0.9829009497477513,5,0.014911683645054168,Preprocessor1_Model004
0.014420959033735189,0.09104399988427758,spec,binary,0.24411088456032276,5,0.08408295172042689,Preprocessor1_Model004
0.008445704580456804,0.11109646130353212,accuracy,binary,0.8981848739495798,5,0.02168757336297828,Preprocessor1_Model005
0.008445704580456804,0.11109646130353212,bal_accuracy,binary,0.6059415860946702,5,0.034680836236332876,Preprocessor1_Model005
0.008445704580456804,0.11109646130353212,roc_auc,binary,0.8188418965324709,5,0.04419506674215137,Preprocessor1_Model005
0.008445704580456804,0.11109646130353212,sens,binary,0.9785830984398284,5,0.016299754683712857,Preprocessor1_Model005
0.008445704580456804,0.11109646130353212,spec,binary,0.23330007374951195,5,0.07854210391620897,Preprocessor1_Model005
1.0571050829071663e-4,0.14190690778195858,accuracy,binary,0.8821848739495798,5,0.012677488665350603,Preprocessor1_Model006
1.0571050829071663e-4,0.14190690778195858,bal_accuracy,binary,0.6063835288550006,5,0.03425800285742774,Preprocessor1_Model006
1.0571050829071663e-4,0.14190690778195858,roc_auc,binary,0.8028662986928734,5,0.037188849900673955,Preprocessor1_Model006
1.0571050829071663e-4,0.14190690778195858,sens,binary,0.9569950738481298,5,0.015873179632215496,Preprocessor1_Model006
1.0571050829071663e-4,0.14190690778195858,spec,binary,0.2557719838618715,5,0.08110137735525476,Preprocessor1_Model006
1.9896413255870795,0.14229429559782147,accuracy,binary,0.8984313725490196,5,0.029777098774411176,Preprocessor1_Model007
1.9896413255870795,0.14229429559782147,bal_accuracy,binary,0.5,5,0,Preprocessor1_Model007
1.9896413255870795,0.14229429559782147,roc_auc,binary,0.5,5,0,Preprocessor1_Model007
1.9896413255870795,0.14229429559782147,sens,binary,1,5,0,Preprocessor1_Model007
1.9896413255870795,0.14229429559782147,spec,binary,0,5,0,Preprocessor1_Model007
0.0015714593348526208,0.14709469093941152,accuracy,binary,0.8852324929971989,5,0.017983660997259742,Preprocessor1_Model008
0.0015714593348526208,0.14709469093941152,bal_accuracy,binary,0.5938321650478149,5,0.029481979573234795,Preprocessor1_Model008
0.0015714593348526208,0.14709469093941152,roc_auc,binary,0.8080888016004822,5,0.04079553905499863,Preprocessor1_Model008
0.0015714593348526208,0.14709469093941152,sens,binary,0.9651750671569287,5,0.016128290864018804,Preprocessor1_Model008
0.0015714593348526208,0.14709469093941152,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model008
0.0018511997842303226,0.1523466168437153,accuracy,binary,0.8875182072829132,5,0.018675626084366563,Preprocessor1_Model009
0.0018511997842303226,0.1523466168437153,bal_accuracy,binary,0.5950616732445362,5,0.0299387426199994,Preprocessor1_Model009
0.0018511997842303226,0.1523466168437153,roc_auc,binary,0.8093989143659345,5,0.041093712160658866,Preprocessor1_Model009
0.0018511997842303226,0.1523466168437153,sens,binary,0.9676340835503713,5,0.01560382914373559,Preprocessor1_Model009
0.0018511997842303226,0.1523466168437153,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model009
0.0064337202489117675,0.1542023008223623,accuracy,binary,0.8958991596638656,5,0.02208281137587604,Preprocessor1_Model010
0.0064337202489117675,0.1542023008223623,bal_accuracy,binary,0.5996187494966042,5,0.03174372227008857,Preprocessor1_Model010
0.0064337202489117675,0.1542023008223623,roc_auc,binary,0.8179772974819426,5,0.043845304755966014,Preprocessor1_Model010
0.0064337202489117675,0.1542023008223623,sens,binary,0.9767482360545072,5,0.0164451266037239,Preprocessor1_Model010
0.0064337202489117675,0.1542023008223623,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model010
0.025383290547842805,0.1838284907862544,accuracy,binary,0.9065658263305322,5,0.021380638064523887,Preprocessor1_Model011
0.025383290547842805,0.1838284907862544,bal_accuracy,binary,0.6054348323706235,5,0.03384296131658858,Preprocessor1_Model011
0.025383290547842805,0.1838284907862544,roc_auc,binary,0.8260065538819125,5,0.0438728363652433,Preprocessor1_Model011
0.025383290547842805,0.1838284907862544,sens,binary,0.9883804018025458,5,0.009493732302962427,Preprocessor1_Model011
0.025383290547842805,0.1838284907862544,spec,binary,0.22248926293870114,5,0.074172290418483,Preprocessor1_Model011
3.8187229958027926e-4,0.18384952400811017,accuracy,binary,0.881422969187675,5,0.015331559631280396,Preprocessor1_Model012
3.8187229958027926e-4,0.18384952400811017,bal_accuracy,binary,0.6004102392212823,5,0.03242143607720081,Preprocessor1_Model012
3.8187229958027926e-4,0.18384952400811017,roc_auc,binary,0.8020322597721522,5,0.039119096140449575,Preprocessor1_Model012
3.8187229958027926e-4,0.18384952400811017,sens,binary,0.9585316406481089,5,0.01575473164048338,Preprocessor1_Model012
3.8187229958027926e-4,0.18384952400811017,spec,binary,0.24228883779445576,5,0.07881049294056598,Preprocessor1_Model012
0.18756640307902234,0.2168927628081292,accuracy,binary,0.8927170868347339,5,0.026557919165564027,Preprocessor1_Model013
0.18756640307902234,0.2168927628081292,bal_accuracy,binary,0.49706457925636005,5,0.002935420743639927,Preprocessor1_Model013
0.18756640307902234,0.2168927628081292,roc_auc,binary,0.776007709241334,5,0.04698305799103467,Preprocessor1_Model013
0.18756640307902234,0.2168927628081292,sens,binary,0.9941291585127201,5,0.005870841487279854,Preprocessor1_Model013
0.18756640307902234,0.2168927628081292,spec,binary,0,5,0,Preprocessor1_Model013
4.1806078451592303e-4,0.2179906687233597,accuracy,binary,0.8821848739495798,5,0.015648995317942935,Preprocessor1_Model014
4.1806078451592303e-4,0.2179906687233597,bal_accuracy,binary,0.6008192388867223,5,0.03233990345754035,Preprocessor1_Model014
4.1806078451592303e-4,0.2179906687233597,roc_auc,binary,0.8022186932871233,5,0.03912833454099117,Preprocessor1_Model014
4.1806078451592303e-4,0.2179906687233597,sens,binary,0.9593496399789888,5,0.015768653178222524,Preprocessor1_Model014
4.1806078451592303e-4,0.2179906687233597,spec,binary,0.24228883779445576,5,0.07881049294056598,Preprocessor1_Model014
9.117765877586592,0.21976763126440346,accuracy,binary,0.8984313725490196,5,0.029777098774411176,Preprocessor1_Model015
9.117765877586592,0.21976763126440346,bal_accuracy,binary,0.5,5,0,Preprocessor1_Model015
9.117765877586592,0.21976763126440346,roc_auc,binary,0.5,5,0,Preprocessor1_Model015
9.117765877586592,0.21976763126440346,sens,binary,1,5,0,Preprocessor1_Model015
9.117765877586592,0.21976763126440346,spec,binary,0,5,0,Preprocessor1_Model015
0.4861010583564807,0.22110293782316148,accuracy,binary,0.8984313725490196,5,0.029777098774411176,Preprocessor1_Model016
0.4861010583564807,0.22110293782316148,bal_accuracy,binary,0.5,5,0,Preprocessor1_Model016
0.4861010583564807,0.22110293782316148,roc_auc,binary,0.5251607492311994,5,0.02516074923119933,Preprocessor1_Model016
0.4861010583564807,0.22110293782316148,sens,binary,1,5,0,Preprocessor1_Model016
0.4861010583564807,0.22110293782316148,spec,binary,0,5,0,Preprocessor1_Model016
9.367904271789203e-6,0.23116178205236793,accuracy,binary,0.8791148459383753,5,0.014130406399005624,Preprocessor1_Model017
9.367904271789203e-6,0.23116178205236793,bal_accuracy,binary,0.606345237863871,5,0.034540787033262514,Preprocessor1_Model017
9.367904271789203e-6,0.23116178205236793,roc_auc,binary,0.8009772050646824,5,0.03819325004874361,Preprocessor1_Model017
9.367904271789203e-6,0.23116178205236793,sens,binary,0.9524241098433984,5,0.015385334298897381,Preprocessor1_Model017
9.367904271789203e-6,0.23116178205236793,spec,binary,0.26026636588434343,5,0.08234284724109261,Preprocessor1_Model017
4.277979471001866e-5,0.2390999556519091,accuracy,binary,0.8794957983193277,5,0.013921720800164763,Preprocessor1_Model018
4.277979471001866e-5,0.2390999556519091,bal_accuracy,binary,0.6065745956620361,5,0.03461957051865047,Preprocessor1_Model018
4.277979471001866e-5,0.2390999556519091,roc_auc,binary,0.8012628446796778,5,0.038052873775614234,Preprocessor1_Model018
4.277979471001866e-5,0.2390999556519091,sens,binary,0.9528828254397287,5,0.015353556037478828,Preprocessor1_Model018
