term,estimate,std.error,statistic,p.value,abs_estimate,direction
n_joins,0.6955680165204954,0.16495878145221682,4.216617086990175,2.5738679451236353e-5,0.6955680165204954,Crește durata estimată
sf_X100,0.5919964100978116,0.013128233140872159,45.09338033118468,1.9624e-320,0.5919964100978116,Crește durata estimată
n_inner_joins,-0.5800158358630065,0.16000137116988014,-3.625067907994235,2.950266501103309e-4,0.5800158358630065,Scade durata estimată
sf_X50,0.30722685107310754,0.013138811224450564,23.38315436798241,6.8788315479911555e-109,0.30722685107310754,Crește durata estimată
workers_X2,-0.27542694420767555,0.016294219422527557,-16.90335308894173,1.400115844414014e-60,0.27542694420767555,Scade durata estimată
workers_X5,-0.2750704025984571,0.01629556378951966,-16.880078906835127,1.9903947997550287e-60,0.2750704025984571,Scade durata estimată
has_left_join_yes,-0.25010684324876886,0.02810161889681406,-8.90008665220081,1.0901153262943269e-18,0.25010684324876886,Scade durata estimată
has_subqueries_yes,0.1996586835896439,0.02237086593465388,8.9249421177014,8.775452948885377e-19,0.1996586835896439,Crește durata estimată
n_left_joins,0.19817359925640193,0.06613602309015569,2.996454730673093,0.0027599752251130836,0.19817359925640193,Crește durata estimată
n_subqueries,-0.19775769338837038,0.023065067745746872,-8.573904727630218,1.7843717614498988e-17,0.19775769338837038,Scade durata estimată
has_having_yes,-0.15403356846801813,0.018535407138641356,-8.310233884579715,1.5941544574115917e-16,0.15403356846801813,Scade durata estimată
n_ctes,0.1443213978137435,0.030405842314231327,4.746502212378918,2.1940477694240374e-6,0.1443213978137435,Crește durata estimată
n_where_predicates,-0.121933725489601,0.016838781090037787,-7.2412441754314285,5.997021180516192e-13,0.121933725489601,Scade durata estimată
n_full_joins,-0.1120990916003162,0.016144955574708197,-6.943288947535073,4.938920855854501e-12,0.1120990916003162,Scade durata estimată
n_having_predicates,0.10366937852123867,0.017901168234460137,5.791207432019597,7.92333284299574e-9,0.10366937852123867,Crește durata estimată
has_union_yes,0.09657766374930477,0.016767420350846985,5.759840317024453,9.521065449466056e-9,0.09657766374930477,Crește durata estimată
n_aggregate_types,-0.0945828471346434,0.018772353599056497,-5.038411759908313,5.05155989310997e-7,0.0945828471346434,Scade durata estimată
has_order_by_yes,-0.09124349701420507,0.012972521234169811,-7.033597815501613,2.6292678000035108e-12,0.09124349701420507,Scade durata estimată
has_distinct_yes,0.09076134979911188,0.01346677410550422,6.739650423186006,1.9908410560960415e-11,0.09076134979911188,Crește durata estimată
n_right_joins,0.0868676439561109,0.015242883182715068,5.6988984901895705,1.3568849300734029e-8,0.0868676439561109,Crește durata estimată
has_intersect_yes,0.0767351674599282,0.016327515468384346,4.699745506811109,2.755446520302015e-6,0.0767351674599282,Crește durata estimată
has_aggregates_yes,0.06709786589953627,0.05967463165931792,1.124395141349134,0.26096031709923073,0.06709786589953627,Crește durata estimată
n_aggregate_calls,0.055745674745668244,0.01960406123712157,2.843577872533379,0.004499586188466352,0.055745674745668244,Crește durata estimată
strategy_D1,0.053406600556806065,0.01264076945431793,4.224948548410005,2.4811612398619117e-5,0.053406600556806065,Crește durata estimată
has_group_by_yes,-0.05238351179380149,0.06133194215567864,-0.8540983695060009,0.3931375786231739,0.05238351179380149,Scade durata estimată
has_limit_yes,0.04792278700808482,0.013189758762730838,3.6333330935131354,2.857824685656026e-4,0.04792278700808482,Crește durata estimată
has_except_yes,0.030770056389680625,0.01667219142440164,1.8455915965939043,0.06507729819663897,0.030770056389680625,Crește durata estimată
has_rollup_yes,0.02091835022862609,0.01146802760681307,1.8240582378959962,0.06827026000741875,0.02091835022862609,Crește durata estimată
has_grouping_yes,0.020902697041378364,0.011539063826480619,1.8114725211424387,0.07019540748721469,0.020902697041378364,Crește durata estimată
has_case_yes,0.020417088623487956,0.013349266064898568,1.52945401823805,0.12628657439422425,0.020417088623487956,Crește durata estimată
has_window_yes,-0.009259371332552693,0.016185459956907466,-0.5720795922516291,0.5673227956856892,0.009259371332552693,Scade durata estimată
has_cte_yes,0.0026424679421775785,0.03278031729944232,0.08061142050698007,0.9357578505985416,0.0026424679421775785,Crește durata estimată
n_tables,0.0013375755267435799,0.0227311292569057,0.05884333820930719,0.9530818945325612,0.0013375755267435799,Crește durata estimată
