model,accuracy,bal_accuracy,sens,spec,roc_auc
Logistic Regression,0.9096491228070176,0.5521739130434783,1,0.10434782608695652,0.8438897136797454
Random Forest,0.8789473684210526,0.5080805938494167,0.9726829268292683,0.043478260869565216,0.8324156945917286
