term,importance_logreg,importance_rf,importance_logreg_norm,importance_rf_norm
n_aggregate_types,1.0779332567678201,0.030882415719063847,1,1
architecture_distributed,0.6327239466628054,0.011242942088121792,0.586978778778963,0.3640564323205285
has_window_yes,0.5677331773401827,0.005416461031887608,0.5266867626317876,0.1753898102130658
has_subqueries_yes,0.47899635584876404,0.020531280097008126,0.4443655048597659,0.6648210516878083
has_except_yes,0.272032874218405,0.0011121117539591697,0.2523652299531928,0.03601116454347379
has_rollup_yes,0.22174989677447865,0.0030444609427635757,0.20571765031111025,0.09858234441433987
has_left_join_yes,0.14564877385587635,0.00521247485292787,0.13511854555133013,0.16878455689300845
has_intersect_yes,0.14010857499011442,6.754249600216509e-4,0.129978896291065,0.02187085900811536
has_grouping_yes,0.13556887626249958,0.0019340615107083226,0.12576741223199892,0.06262662637218559
has_cube_yes,0.08654617747659474,0.0018820978702366957,0.08028899464156362,0.060943997624993716
has_union_yes,0.08233921123566292,8.745372294797643e-4,0.07638618691713513,0.028318290817512335
n_where_predicates,0.08054136278206629,0.021428053002077178,0.07471832070899208,0.6938593533940918
has_cte_yes,0.08012759682959342,0.009275062247741201,0.07433446952908364,0.30033473845168357
has_limit_yes,0.0752633088326948,0.001659473971271198,0.06982186360811579,0.053735238407751816
has_group_by_yes,0.06178580572518928,0.012534540047652601,0.05731876749999703,0.40587951932513416
strategy_D2,0.0609720131737323,0.008293683792420889,0.056563811155207054,0.26855683402063535
n_right_joins,0.053576579994709675,3.422776807119926e-4,0.04970305875463839,0.011083254750071355
n_ctes,0.05253745830094223,0.009255118517800597,0.048739064289078204,0.2996889427949567
n_aggregate_calls,0.021424354847976952,0.02782030411752664,0.01987540018221334,0.9008461116062577
n_full_joins,0.02123551829092882,8.161500869284951e-5,0.01970021627740057,0.002642766337818198
has_right_join_yes,0.00586342636039149,2.716938670494128e-4,0.005439507802155541,0.008797688287114632
has_full_join_yes,0.00275892456483952,1.3787928996884067e-4,0.0025594576913900474,0.004464653647017879
n_tables,0,0.02548321170476355,0,0.8251689873157382
n_joins,0,0.021976041509084613,0,0.7116037070739485
n_inner_joins,0,0.020404982574704803,0,0.6607314259456951
n_left_joins,0,0.005319413799822736,0,0.17224733480091842
n_cross_joins,0,4.8724852162767146e-5,0,0.001577753910381081
n_subqueries,0,0.020645163020588254,0,0.6685086817170169
n_having_predicates,0,0.00822588802737786,0,0.2663615470437432
sf_X50,0,3.793694340392895e-5,0,0.0012284318606756632
sf_X100,0,-2.2522116128697686e-4,0,-0.007292860873832059
workers_X2,0,5.392377298740347e-4,0,0.017460995758215928
workers_X5,0,4.78437497130762e-4,0,0.015492230319126898
strategy_D1,0,0.0055098903192697625,0,0.1784151333688732
has_order_by_yes,0,0.003516264612883555,0,0.11385976553359295
has_distinct_yes,0,0.003954564877078824,0,0.12805231666633043
has_having_yes,0,0.0054302563638423595,0,0.17583651529210648
has_case_yes,0,0.0029295357241921425,0,0.09486096394925891
has_aggregates_yes,0,0.006327859166314451,0,0.20490168981205173
has_cross_join_yes,0,1.0547555360253118e-5,0,3.415391935722848e-4
